AreaID,AreaName,ZoneId,ZoneName,Polygon,IsLive,ZoneType
1068,"Amelia, VA",4648,VA: Amelia,"POLYGON ((-78.0665856 37.423488, -77.9924279 37.2619023, -77.8166466 37.3318199, -77.9320031 37.4474778, -78.0665856 37.423488))",true,null
1146,"Amsterdam, NY",4726,NY: Amsterdam,"POLYGON ((-74.2563931 42.9685178, -74.2577664 42.9544479, -74.1939083 42.9137276, -74.1540829 42.9268013, -74.1630093 42.9609807, -74.1321102 42.9609807, -74.1307369 42.9876074, -74.1891018 43.0056869, -74.2563931 42.9685178))",false,null
779,"Anacortes, WA",4339,WA: Anacortes,"POLYGON ((-122.6168796 48.5204155, -122.6735278 48.5023339, -122.6651164 48.4847009, -122.5976535 48.4877729, -122.6094981 48.5108637, -122.6089832 48.5164358, -122.5990268 48.5162084, -122.5998851 48.5205292, -122.6168796 48.5204155))",true,null
570,"Anderson, SC",4019,SC: Anderson,"POLYGON ((-82.7354735 34.5693429, -82.7739256 34.481092, -82.6832884 34.4448594, -82.4443358 34.4890158, -82.4292296 34.5682121, -82.7354735 34.5693429))",true,null
959,"Angleton, TX",4536,TX: Angleton,"POLYGON ((-95.4449512 29.2064487, -95.4681255 29.1971584, -95.471902 29.1505441, -95.4406596 29.1376502, -95.3819514 29.1697319, -95.3871013 29.2097451, -95.4449512 29.2064487))",true,null
825,"Angola, IN",4388,IN: Angola,"POLYGON ((-84.96378879999999 41.6239871, -84.98955462619071 41.6127508338413, -85.00864972218486 41.58801854968332, -85.08093463781515 41.58801854968332, -85.11707709563031 41.63482285, -85.08093463781515 41.68159318773645, -85.00864972218486 41.68159318773645, -85.00146849277763 41.672302983996474, -84.96653539999998 41.66914, -84.96378879999999 41.6239871))",true,null
573,"Antioch, SC",4023,SC: Antioch,"POLYGON ((-81.239415 35.036485, -81.273747 35.156149, -81.660328 35.169622, -81.658914 35.145654, -81.702636 35.145654, -81.738778 35.09445, -81.702636 35.043214, -81.652874 35.043214, -81.652775 35.041545, -81.239415 35.036485))",true,null
609,"Appleton, WI",4060,WI: Appleton,"POLYGON ((-88.57835737026018 44.23019501234766, -88.5451191 44.1530572, -88.50444653802434 44.1067210610058, -88.1743306 44.2888735, -88.2704609 44.3321113, -88.55228810814926 44.33577412619761, -88.57835737026018 44.23019501234766))",true,null
988,"Arcadia, FL",4564,FL: Arcadia,"POLYGON ((-81.8710656 27.235781, -81.8909783 27.1649384, -81.8322701 27.1573019, -81.8133873 27.235781, -81.8710656 27.235781))",true,null
646,"Ardmore, OK",4121,OK: Ardmore,"POLYGON ((-97.1672042 34.2043264, -97.1705952 34.1834161, -97.1726116 34.1625057, -97.159951 34.1568973, -97.1447162 34.1522814, -97.1288808 34.1495814, -97.11562 34.1600909, -97.10648 34.1697467, -97.1079811 34.2032616, -97.1672042 34.2043264))",true,null
1112,"Arkport, NY",4692,NY: Arkport,"POLYGON ((-77.7152638 42.4032197, -77.7042775 42.3788775, -77.6678853 42.3748196, -77.6747517 42.4098108, -77.7152638 42.4032197))",false,null
733,"Arlington, WA",4237,WA: Arlington,"POLYGON ((-122.2213962 48.2126034, -122.3504856 48.0990031, -122.2406223 48.0384358, -122.20092972292126 48.019214635356064, -122.18561972475901 48.015480965837419, -122.17980759364784 48.007734215629711, -122.17846087795019 47.989631206000261, -122.17169187962212 47.986460228558037, -122.1527316 47.972281099999996, -122.0511081 47.9557291, -121.9906833 48.0384358, -122.1060398 48.0329261, -122.1115329 48.1540024, -122.012656 48.1723224, -122.0291355 48.2382203, -122.2213962 48.2126034))",true,null
807,"Arvin, CA",4368,CA: Arvin,"POLYGON ((-118.8466143 35.2297022, -118.856914 35.179207, -118.8253283 35.1674203, -118.7951159 35.1853803, -118.8157152 35.211752, -118.8466143 35.2297022))",true,null
1160,"Asheville, NC",4827,NC: Downtown Asheville / East End,"POLYGON ((-82.56339241251156 35.59476786860811, -82.5592367144172 35.58804798368242, -82.55125968474182 35.58816451828476, -82.52715497897532 35.59293227221664, -82.5281210231776 35.59686817160676, -82.53265577193635 35.599742208287324, -82.53714104191714 35.602393715851456, -82.54976917284009 35.60307005648757, -82.55397349757072 35.60330989855678, -82.55714291529267 35.603398176265735, -82.5541198796929 35.600673907272956, -82.55398427945372 35.60051798778747, -82.56339241251156 35.59476786860811))",true,null
1160,"Asheville, NC",4832,NC: Echo Hills,"POLYGON ((-82.619505 35.570378, -82.604071 35.591405, -82.61432 35.591922, -82.619295 35.594431, -82.621902 35.597886, -82.627833 35.607663, -82.627911 35.607791, -82.621845 35.611333, -82.670074 35.611333, -82.706216 35.560424, -82.670074 35.509482, -82.597789 35.509482, -82.588478 35.522609, -82.606784 35.548411, -82.596239 35.56327, -82.619528 35.570346, -82.619511 35.570369, -82.619505 35.570378))",true,null
1160,"Asheville, NC",4831,NC: Emma,"POLYGON ((-82.5752103171837 35.59735384859872, -82.60057714777061 35.595971101106244, -82.60386019809513 35.59150366755544, -82.61427772483255 35.592029700244815, -82.61919664400317 35.59451027562106, -82.62178405965373 35.59793867791972, -82.62773959268937 35.607756197133504, -82.60078855263099 35.623493225208655, -82.59370914827285 35.62300076423167, -82.58649466724788 35.625655866093865, -82.58219653847162 35.62485396414022, -82.57737350042986 35.61769293466712, -82.57685043839788 35.612068693044904, -82.58027007716184 35.60721452986616, -82.5752103171837 35.59735384859872))",true,null
1160,"Asheville, NC",4835,NC: Five Points / Chestnut Hills,"POLYGON ((-82.56699765611478 35.61226416645616, -82.55714844383898 35.6033990410044, -82.55396863281906 35.60331161151249, -82.53714025769409 35.60239500654647, -82.53691980694376 35.60782941019623, -82.5482723461824 35.608600816677495, -82.5541305050889 35.617284353508474, -82.55507979433725 35.612756115790766, -82.56699765611478 35.61226416645616))",true,null
1160,"Asheville, NC",4852,NC: Fletcher,"POLYGON ((-82.498201 35.497461, -82.567312 35.497461, -82.600402 35.450786, -82.569687 35.407437, -82.578289 35.395293, -82.542147 35.344246, -82.469862 35.344246, -82.433719 35.395293, -82.464434 35.438648, -82.455832 35.450786, -82.491975 35.501765, -82.495149 35.501765, -82.498201 35.497461))",true,null
1160,"Asheville, NC",4836,NC: Grove Park / Sunset,"POLYGON ((-82.55412972288983 35.61728599654628, -82.54827104786122 35.60860264913805, -82.53645150535377 35.607809264818364, -82.53046811820514 35.617152635928434, -82.53032576900999 35.62260628664181, -82.53834649229445 35.62996624852599, -82.55452239676498 35.62340423554765, -82.55413550727917 35.617294798617465, -82.55412972288983 35.61728599654628))",true,null
1160,"Asheville, NC",4839,NC: Haw Creek,"POLYGON ((-82.52328125991461 35.58616132344285, -82.5271421565899 35.592935522962705, -82.52809541391895 35.596873671161035, -82.51456789558331 35.60166827484618, -82.50450934617916 35.62679030433468, -82.49199529137448 35.62692246909059, -82.47937803355562 35.586646542783534, -82.52328125991461 35.58616132344285))",true,null
1160,"Asheville, NC",4853,NC: Hendersonville,"POLYGON ((-82.445749 35.246577, -82.373464 35.246577, -82.337321 35.297685, -82.373464 35.348761, -82.445749 35.348761, -82.481891 35.297685, -82.445749 35.246577))",true,null
1160,"Asheville, NC",4829,NC: Hillcrest / WECAN,"POLYGON ((-82.5592374279434 35.58804673534341, -82.56340301921044 35.594783943481474, -82.56750469470717 35.59228648916639, -82.57102744166089 35.59660643054221, -82.57555938118756 35.59811788960034, -82.57341294833338 35.594104945885505, -82.57239799813263 35.59040345495801, -82.56869396467691 35.58587978405514, -82.56793430500802 35.58434585417878, -82.56774127569189 35.58008529279744, -82.55974664772081 35.580627571791936, -82.5592638338046 35.587970664497476, -82.5592374279434 35.58804673534341))",true,null
1160,"Asheville, NC",4828,NC: Montford,"POLYGON ((-82.55412025185493 35.60067285466976, -82.56701113544163 35.61226293543326, -82.57649639035188 35.616028831083945, -82.57672985945408 35.612039696466056, -82.58000366281712 35.60721446742399, -82.57556136485415 35.598126422214506, -82.57102353360169 35.59661164767005, -82.56750461669182 35.592288191065194, -82.55398632830789 35.600517724670716, -82.55412025185493 35.60067285466976))",true,null
1160,"Asheville, NC",4837,NC: North Asheville,"POLYGON ((-82.5801397296466 35.62323936001954, -82.58068525785097 35.633159887961654, -82.58036757643411 35.642335166344886, -82.58025452867456 35.645823910218795, -82.55845152837341 35.64563852422549, -82.54020600906745 35.64424148281853, -82.53833189633048 35.62999363455292, -82.55452211379779 35.62341193741702, -82.58012056734849 35.62322378374355, -82.5801397296466 35.62323936001954))",true,null
1160,"Asheville, NC",4833,NC: South Asheville / Kenilworth,"POLYGON ((-82.517856 35.576574, -82.523243 35.586052, -82.523367 35.586051, -82.527217 35.592807, -82.551242 35.588055, -82.559131 35.58794, -82.559618 35.580526, -82.567768 35.579974, -82.568636 35.576443, -82.563601 35.571109, -82.56315 35.567178, -82.563697 35.565163, -82.563708 35.565121, -82.595704 35.563108, -82.596111 35.563231, -82.606628 35.548411, -82.570486 35.497461, -82.498201 35.497461, -82.472717 35.533389, -82.506038 35.533389, -82.532614 35.57084, -82.517856 35.576574))",true,null
1160,"Asheville, NC",4834,NC: University / Jackscn Park,"POLYGON ((-82.55508345069079 35.61276125840796, -82.56699391339951 35.612269813493, -82.57648822952453 35.61604179502612, -82.58010763919532 35.62321113623318, -82.55453104336286 35.62340552925483, -82.55413666053319 35.61729367070744, -82.55505682198788 35.612897334802035, -82.55508345069079 35.61276125840796))",true,null
1160,"Asheville, NC",4838,NC: View Point,"POLYGON ((-82.491891 35.627033, -82.479205 35.586539, -82.523096 35.586054, -82.517678 35.576522, -82.532425 35.570792, -82.50596 35.533499, -82.433676 35.533499, -82.397533 35.584426, -82.433676 35.63532, -82.50596 35.63532, -82.531603 35.599214, -82.528098 35.596992, -82.514677 35.601749, -82.504608 35.626899, -82.491891 35.627033))",true,null
1160,"Asheville, NC",4830,NC: West Asheville,"POLYGON ((-82.57528422983731 35.59730791283834, -82.5734854120002 35.59405222766919, -82.57253764776344 35.590387457446944, -82.56883792268363 35.58572060609306, -82.56810292184697 35.58430490218008, -82.56789015844686 35.58003442986314, -82.56877989630176 35.57641621321983, -82.56373160108151 35.571067245743876, -82.56328602621417 35.567184656947724, -82.56381833809992 35.56522400767251, -82.59568462740174 35.563218890162325, -82.61932948215863 35.57040286249266, -82.60057106807822 35.59595893186799, -82.57528422983731 35.59730791283834))",true,null
655,"Ashville, TN",4133,NC: Ashville (Deprecated),"POLYGON ((-82.5895227 35.6378344, -82.6636804 35.5529661, -82.6526941 35.3650435, -82.449447 35.228301, -82.3176111 35.3090295, -82.4988855 35.4232569, -82.4686731 35.5104982, -82.5290979 35.5529661, -82.4659265 35.5909446, -82.4878992 35.6579216, -82.5895227 35.6378344))",false,null
1149,"Atchison, KS",4728,KS: Atchison,"POLYGON ((-95.177229718411326 39.587296157757521, -95.177880760101388 39.502954552952772, -95.079573464902268 39.53610097985041, -95.087385965183 39.594319997167716, -95.177229718411326 39.587296157757521))",false,null
300,"Athens, GA",4034,GA: Athens,"POLYGON ((-83.5377204 33.9657074, -83.3399665 33.8220763, -83.2136237 33.9064604, -83.2630622 34.0453978, -83.455323 34.0180838, -83.5377204 33.9657074))",true,null
891,"Athens, OH",4460,OH: Athens,"POLYGON ((-82.1250091 39.4128672, -82.1881805 39.3151876, -82.072824 39.2769279, -81.98768 39.3852759, -82.1250091 39.4128672))",true,null
1044,"Athens, TN",4621,TN: Athens,"POLYGON ((-84.6423938 35.4404242, -84.6252277 35.4264374, -84.5764758 35.4152462, -84.561713 35.4530102, -84.5740726 35.4834883, -84.6389606 35.4848861, -84.6581867 35.4820904, -84.6626498 35.4700682, -84.6296909 35.4521712, -84.6423938 35.4404242))",true,null
675,"Athens, TX",4163,TX: Athens,"POLYGON ((-95.8512422 32.2387674, -95.8979341 32.2050755, -95.869095 32.1725335, -95.81691 32.2085614, -95.8512422 32.2387674))",true,null
174,"Atlanta, GA",3442,GA: Adamsville,"POLYGON ((-84.5674026 33.8558552, -84.565771 33.7732162, -84.5400824 33.7651379, -84.5221305 33.7532114, -84.4834199 33.7548811, -84.4622593 33.804674, -84.4614861 33.8205325, -84.4608835 33.8565855, -84.5674026 33.8558552))",true,null
